loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,11.0,561,1.2672713994979858,0.7292516562775366,0.5255403388070358,0.4659071292939755,0.4939303361190752,4.5563,44.115,2.853,,,,,
1.0441102027893066,15.922890663146973,9.586956521739132e-06,11.376237623762377,580,,,,,,,,,,,,,
1.141718864440918,27.380756378173828,9.15217391304348e-06,11.772277227722773,600,,,,,,,,,,,,,
,,,12.0,612,1.2098851203918457,0.7319441271498972,0.5257408609128271,0.5594107831290638,0.5420534693763764,4.5802,43.885,2.838,,,,,
1.0432841300964355,18.487117767333984,8.717391304347826e-06,12.158415841584159,620,,,,,,,,,,,,,
1.0371777534484863,46.78970718383789,8.282608695652174e-06,12.554455445544555,640,,,,,,,,,,,,,
1.0141162872314453,36.762351989746094,7.847826086956523e-06,12.950495049504951,660,,,,,,,,,,,,,
,,,13.0,663,1.3365302085876465,0.730867138800953,0.5264130694013832,0.5080269290523045,0.5170566015636439,4.5601,44.078,2.851,,,,,
0.9653340339660644,10.011916160583496,7.4130434782608704e-06,13.336633663366337,680,,,,,,,,,,,,,
1.0063199996948242,18.43640899658203,6.9782608695652175e-06,13.732673267326733,700,,,,,,,,,,,,,
,,,14.0,714,1.357474684715271,0.7266734114421853,0.5197092185247854,0.47718510846423845,0.49754019678425726,4.6684,43.055,2.785,,,,,
0.9835047721862793,34.51652908325195,6.543478260869565e-06,14.118811881188119,720,,,,,,,,,,,,,
0.9490936279296875,21.358760833740234,6.108695652173914e-06,14.514851485148515,740,,,,,,,,,,,,,
0.9459953308105469,17.95798683166504,5.673913043478262e-06,14.910891089108912,760,,,,,,,,,,,,,
,,,15.0,765,1.37466299533844,0.7294474723409811,0.5263678965084813,0.45888716266758733,0.4903166308023363,4.5619,44.061,2.85,,,,,
0.8953953742980957,21.683063507080078,5.239130434782609e-06,15.297029702970297,780,,,,,,,,,,,,,
